year,region,prov_code,province,can_code,canton,gdp,exports,imports,population,gdp_2019,population_2019,exports_2019,imports_2019,gdp_pc,trade_balance,gdp_pc_2019,gdp_cagr,gdp_pc_cagr,population_cagr,gdp_cagr_cat,gdp_pc_cagr_cat,growth_type
2022,Brunca,6,Puntarenas,608,Coto Brus,160428.58,1038.85,526.87,46351,114717.25,44262,235.5887024,1085.72,3.461167612349248,511.9799999999999,2.5917773711084,0.11828114890126562,0.10122225381596017,0.015490873914137726,Strong,Strong,Inclusive
2022,Central,1,San Jose,118,Curridabat,959365.64,11085.14,132445.16,71026,822926.18,78961,11628.66568,56035.88,13.50724579731366,-121360.02,10.421932093058599,0.052465237983852386,0.09028370495571947,-0.03468681298268417,Strong,Strong,Inclusive
2022,Central,1,San Jose,103,Desamparados,961782.64,45437.85,256448.29,223226,999748.83,242983,37369.9009,229606.17,4.308560113965219,-211010.44,4.1144805603684205,-0.012822284390110683,0.015482352966601498,-0.027873096242414963,Recession,Slow,Efficiency Gain
2022,Central,1,San Jose,117,Dota,37884.49,4571.78,32.64,9364,28254.29,7905,1241.747293,44.66,4.045759290901324,4539.139999999999,3.5742302340290957,0.10270416662699966,0.042171450914543884,0.05808326034966327,Strong,Strong,Inclusive
2022,Central,3,Cartago,308,El Guarco,221726.62,45738.35,48648.34,47375,222483.95,45935,12916.07638,21972.02,4.680245277044855,-2909.989999999998,4.843451616414499,-0.0011359485178690232,-0.011360672031097696,0.010342218060690467,Recession,Recession,Decline
2022,Central,1,San Jose,102,Escazu,1994297.06,57375.48,140847.63,71500,1517635.42,69394,11040.03184,54072.95,27.892266573426575,-83472.15,21.869836297086202,0.09531944666994185,0.08445805358549752,0.010015503180168084,Strong,Strong,Inclusive
2022,Pacifico Central,6,Puntarenas,602,Esparza,134503.98,69509.19,134845.95,34808,120026.81,37647,66284.84648,113715.06,3.8641685819351874,-65336.76000000001,3.1882171222142532,0.03868921884587606,0.06619356846840985,-0.025796769400929453,Moderate,Strong,Inclusive
2022,Central,4,Heredia,408,Flores,515481.9,7825.72,22094.78,22026,294917.17,24603,2417.243561,6868.06,23.403336965404524,-14269.059999999998,11.987041011258789,0.2045859340334275,0.24984243204964263,-0.03620976281145949,Strong,Strong,Inclusive
2022,Pacifico Central,6,Puntarenas,611,Garabito,200371.6,2042.12,4325.54,26672,177016.17,25381,1449.883956,5565.3,7.512432513497301,-2283.42,6.9743575903234705,0.04217601848575914,0.02508243282421363,0.016675327870414147,Strong,Moderate,Inclusive
2022,Central,1,San Jose,108,Goicoechea,1077348.57,19359.22,164223.57,132104,1079998.56,137328,2141.831905,84374.27,8.155306198146915,-144864.35,7.864372596994058,-0.0008185691112414517,0.012182280398363776,-0.012844375723005563,Recession,Slow,Efficiency Gain
2022,Brunca,6,Puntarenas,607,Golfito,217087.1,12.18,21064.72,44086,174926.22,45082,281.491627,22881.5,4.92417320691376,-21052.54,3.88017878532452,0.0746318346130479,0.08266441169194505,-0.007419267680872643,Strong,Strong,Inclusive
2022,Central,2,Alajuela,203,Grecia,508069.38,114173.49,76545.61,76226,392393.48,77172,110293.6806,76174.38,6.665302915015874,37627.880000000005,5.0846612761105066,0.0899345338330888,0.09442487330966376,-0.004102921622199274,Strong,Strong,Inclusive
2022,Huetar Caribe,7,Limon,706,Guacimo,223390.4,81578.14,25240.94,49606,160263.88,54195,58030.80003,23106.88,4.503293956376245,56337.2,2.9571709567303257,0.1170594432910248,0.15049469788740644,-0.029061632928667036,Strong,Strong,Inclusive
2022,Huetar Norte,2,Alajuela,215,Guatuso,47325.5,200.9,970.11,18316,53257.17,19010,274.0609938,1649.46,2.5838338065079713,-769.21,2.8015344555497106,-0.03859647824622903,-0.026604047609056214,-0.012320197765067542,Recession,Recession,Decline
2022,Central,4,Heredia,401,Heredia,2591032.72,774946.11,736138.7,131901,2079965.5,141683,734512.4565,565426.34,19.64376858401377,38807.41000000003,14.68041684605775,0.07598344320359596,0.10195063779878066,-0.023564752997516925,Strong,Strong,Inclusive
2022,Chorotega,5,Guanacaste,511,Hojancha,30552.12,116.21,0.0,8224,20717.08,7945,75.60056439,111.03,3.7149951361867704,116.21,2.607561988672121,0.13824985245539545,0.12522974137984777,0.011571069086372843,Strong,Strong,Inclusive
2022,Central,3,Cartago,304,Jimenez,115929.27,2241.72,730.04,18710,89323.43,16296,1130.073536,874.67,6.196112773917691,1511.6799999999998,5.4813101374570445,0.09079357168101265,0.04170555327733516,0.04712273852168747,Strong,Strong,Inclusive
2022,Chorotega,5,Guanacaste,510,La Cruz,89074.4,37186.68,2437.08,26829,89781.3,26599,20750.1404,7126.75,3.3200790189720077,34749.6,3.3753637354787775,-0.002631444170321462,-0.0054897123043679,0.0028740458187408446,Recession,Recession,Decline
2022,Central,3,Cartago,303,La Union,634391.12,52717.98,73928.13,99539,634885.67,111369,40920.88605,58209.92,6.373292076472539,-21210.15,5.700739613357398,-0.000259720497925775,0.03787298016748264,-0.036741201856179906,Recession,Moderate,Efficiency Gain
2022,Central,1,San Jose,120,Leon Cortes Castro,88386.58,0.0,182.11,13553,70490.97,13635,100.9159952,1953.37,6.5215509481295655,-182.11,5.169854785478548,0.07832816230679995,0.08049853485220249,-0.002008676990662761,Strong,Strong,Inclusive
2022,Chorotega,5,Guanacaste,501,Liberia,1005549.41,8456.8,30909.05,80130,741809.9,75640,6018.776668,24904.98,12.54897553974791,-22452.25,9.807111316763617,0.1067178895772356,0.08564804835858175,0.019407616723034593,Strong,Strong,Inclusive
2022,Huetar Caribe,7,Limon,701,Limon,466654.27,106134.27,1755326.6,116457,489590.93,99545,123904.5013,1163511.5,4.007095065131336,-1649192.33,4.9182875081621376,-0.015866625378987198,-0.06601784672359756,0.05369612381637068,Recession,Recession,Decline
2022,Huetar Norte,2,Alajuela,214,Los Chiles,109791.95,38123.36,10.81,34701,119393.02,32993,10650.78156,212.74,3.163941961326763,38112.55,3.618737914102992,-0.027557673553166517,-0.04378153492284742,0.016966689059253692,Recession,Recession,Decline
2022,Huetar Caribe,7,Limon,705,Matina,184983.56,20895.5,1358.91,45329,192647.34,45839,27512.83289,6034.14,4.080909792847845,19536.59,4.202695084971313,-0.01344029742683317,-0.00975413492976096,-0.00372247199114617,Recession,Recession,Decline
2022,Central,1,San Jose,115,Montes de Oca,1350329.81,20311.0,31434.41,53862,1072029.85,62310,4561.224716,26154.47,25.07017581968735,-11123.41,17.204780131600067,0.07996826124571599,0.133712019300124,-0.04740512329364377,Strong,Strong,Inclusive
2022,Pacifico Central,6,Puntarenas,604,Montes de Oro,80914.09,243.13,556.15,16395,66310.21,14177,905.1461994,3064.0,4.935290637389448,-313.02,4.677309021654794,0.06859855760200473,0.018057301666991155,0.04964480471998578,Strong,Slow,Inclusive
2022,Central,1,San Jose,107,Mora,227401.2,9281.52,8460.49,32348,144079.26,30067,7320.156161,7664.68,7.0298380116235935,821.0300000000007,4.791940000665181,0.16429695316512727,0.13626068973108607,0.024674147127871082,Strong,Strong,Inclusive
2022,Central,1,San Jose,114,Moravia,396995.9,29581.96,48529.34,59546,373544.61,62290,17960.03833,38901.39,6.667045645383402,-18947.379999999997,5.996863220420613,0.02050354052302472,0.03594435539279783,-0.014905062023257476,Moderate,Moderate,Inclusive
2022,Chorotega,5,Guanacaste,509,Nandayure,40877.06,2562.52,340.07,11874,38137.29,11750,3318.208695,145.62,3.4425686373589355,2222.45,3.2457268085106383,0.023394961370108325,0.019820055478511955,0.0035054281119417663,Moderate,Slow,Inclusive
2022,Central,2,Alajuela,206,Naranjo,172770.04,5425.3,18542.34,46647,173631.8,48310,3637.744158,16416.91,3.7037760198940983,-13117.04,3.5941171600082797,-0.0016571266023147624,0.010068502541942248,-0.011608746451105434,Recession,Slow,Efficiency Gain
2022,Chorotega,5,Guanacaste,502,Nicoya,282904.59,10014.77,2426.91,66268,227247.45,56053,13049.40906,2939.72,4.2690980563771355,7587.860000000001,4.0541532121385115,0.07575570611875881,0.017369368767552684,0.05738951765565292,Strong,Slow,Inclusive
2022,Central,3,Cartago,307,Oreamuno,149944.03,19969.77,22176.32,48911,144580.95,49604,8136.078935,7575.39,3.065650467175073,-2206.5499999999993,2.91470345133457,0.012214843492319716,0.01697299467155844,-0.0046787389676707924,Slow,Slow,Inclusive
2022,Pacifico Central,2,Alajuela,209,Orotina,101212.19,8578.18,18840.51,24217,85565.26,23467,716.9338422,575.07,4.1793859685345005,-10262.329999999998,3.646195082456215,0.0575764771747469,0.04654408259376064,0.01054173900983102,Strong,Strong,Inclusive
2022,Brunca,6,Puntarenas,605,Osa,175568.22,0.68,560.09,36088,133941.77,30981,2426.083793,844.57,4.865002771004212,-559.4100000000001,4.323352054485007,0.09440136012044409,0.04012969811391054,0.05217778331389389,Strong,Strong,Inclusive
2022,Central,2,Alajuela,207,Palmares,208171.53,15125.18,37845.67,39148,172199.84,40473,14587.43357,32071.84,5.31755210994176,-22720.489999999998,4.254684357472883,0.0652777679780232,0.07716310443816443,-0.011033924585024169,Strong,Strong,Inclusive
2022,Central,3,Cartago,302,Paraiso,290268.81,34993.01,9432.93,65941,262976.56,62480,31144.71426,15186.77,4.401947346870688,25560.08,4.208971830985916,0.03346183752171861,0.015055077819807527,0.01813375461501665,Moderate,Slow,Inclusive
2022,Pacifico Central,6,Puntarenas,609,Parrita,101369.01,10545.51,6165.49,20068,73332.25,19828,14225.61183,1126.54,5.051276161052422,4380.02,3.6984189025620333,0.11396120145946753,0.1095026338305769,0.004018528206190197,Strong,Strong,Inclusive
2022,Brunca,1,San Jose,119,Perez Zeledon,692119.06,16693.34,9918.3,156917,530636.96,142997,13021.31474,8462.87,4.4107334450696865,6775.040000000001,3.710825821520731,0.09259976896367617,0.05928644337473532,0.03144883595678727,Strong,Strong,Inclusive
2022,Central,2,Alajuela,208,Poas,166824.91,3401.11,6305.89,36207,155496.41,33541,5430.652772,4312.15,4.6075319689562795,-2904.78,4.636009957961898,0.023717618006493746,-0.0020518003210697744,0.025822400737687934,Moderate,Recession,Population-driven
