canton,population_2022
San Jose,352381
Alajuela,322143
Desamparados,223226
San Carlos,198742
Cartago,165417
Perez Zeledon,156917
Pococi,146320
Puntarenas,141697
Goicoechea,132104
Heredia,131901
Limon,116457
La Union,99539
San Ramon,93264
Turrialba,82065
Alajuelita,81012
Liberia,80130
Grecia,76226
Tibas,74592
Santa Cruz,72366
Escazu,71500
Curridabat,71026
Sarapiqui,67153
Vazquez de Coronado,67078
Nicoya,66268
Paraiso,65941
Siquirres,63765
Aserri,59588
Moravia,59546
Santa Ana,58020
Upala,57361
Montes de Oca,53862
Corredores,51023
Buenos Aires,50562
Guacimo,49606
Oreamuno,48911
Talamanca,48906
San Rafael,48848
Carrillo,48227
Barva,47699
El Guarco,47375
Naranjo,46647
Coto Brus,46351
Santo Domingo,45932
Matina,45329
Golfito,44086
Palmares,39148
Santa Barbara,39133
Puriscal,38525
Poas,36207
Osa,36088
Esparza,34808
Los Chiles,34701
Quepos,32416
Mora,32348
Canas,31738
Atenas,30407
San Pablo,29860
La Cruz,26829
Garabito,26672
Orotina,24217
Belen,23759
Bagaces,23709
San Isidro,22806
Acosta,22542
Abangares,22211
Flores,22026
Sarchi,21562
Tilaran,21232
Parrita,20068
Jimenez,18710
Guatuso,18316
Tarrazu,17810
Alvarado,17134
Montes de Oro,16395
Zarcero,15153
Rio Cuarto,14418
Leon Cortes Castro,13553
Nandayure,11874
Dota,9364
Hojancha,8224
San Mateo,6952
Turrubares,6173
