region,cantons,avg_gdp_cagr,avg_gdp_pc_cagr,avg_pop_cagr,avg_gdp_pc
Brunca,6,0.08885766672358393,0.07632285638835815,0.012003920576489899,4.076925196378509
Central,45,0.06866995494913962,0.07450168809219453,-0.004779565910178587,10.365466034759871
Chorotega,11,0.04684741715490155,0.031261753398219676,0.014965045801904619,5.964264797330127
Huetar Caribe,6,0.042603050699273816,0.033735486876393016,0.0101845399435619,4.76902862387387
Huetar Norte,6,0.007030697906168633,0.016637455576016365,-0.00868833141014045,3.8682232592164
Pacifico Central,8,0.04160614130265196,0.03441026734656959,0.006988100398803137,5.1426512083241365
