growth_type,cantons,avg_gdp_cagr,avg_gdp_pc_cagr
Decline,8,-0.03204594579855866,-0.03867324267394095
Efficiency Gain,6,-0.003107656092200778,0.02585847292374153
Inclusive,66,0.07559874762076049,0.0741461512255779
Population-driven,2,0.0273816718910272,-0.0037493468463655998
